Scenario,Point,GHG_eps,N_eps,NAC_MUSD_per_yr,GHG_tCO2e_per_yr,EP_marine_tpy,Status,Quality,Config,pct_HTL,pct_AND,pct_SLF,pct_CMP,pct_WWT,pct_INC,pct_HTLrec_CEN,pct_HTLrec_FLT,pct_GasUpg_ABS,pct_GasUpg_PSA
Household,g1,180.0,0.9,7.8418,180.0,0.9,ModelStatus.OptimalGlobal,Optimal,Conv: AND 55.0% / WWT 20.0% / HTL 25.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,25.0,55.0,0.0,0.0,20.0,0.0,100.0,0.0,100.0,0.0
Household,g2,180.0,2.55,7.1309,180.0,2.5233,ModelStatus.Integer,Feasible—not proven optimal,Conv: AND 50.0% / WWT 10.0% / CMP 7.5% / HTL 32.5% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,32.5,50.0,0.0,7.5,10.0,0.0,100.0,0.0,100.0,0.0
Household,g3,180.0,4.2,6.2966,180.0,3.8132,ModelStatus.OptimalGlobal,Optimal,Conv: AND 45.0% / CMP 15.0% / HTL 40.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,40.0,45.0,0.0,15.0,0.0,0.0,100.0,0.0,100.0,0.0
Household,g4,565.0,0.9,6.548,518.7329,0.9,ModelStatus.OptimalGlobal,Optimal,Conv: AND 27.5% / WWT 10.0% / SLF 17.5% / HTL 45.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,45.0,27.5,17.5,0.0,10.0,0.0,100.0,0.0,100.0,0.0
Household,g5,565.0,2.55,5.8661,541.2801,2.5028,ModelStatus.Integer,Feasible—not proven optimal,Conv: AND 22.5% / WWT 5.0% / SLF 20.0% / INC 7.5% / CMP 3.8% / HTL 41.2% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,41.2,22.5,20.0,3.8,5.0,7.5,100.0,0.0,100.0,0.0
Household,g6,565.0,4.2,5.3017,547.5676,3.8734,ModelStatus.OptimalGlobal,Optimal,Conv: AND 17.5% / SLF 22.5% / INC 15.0% / CMP 7.5% / HTL 37.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,37.5,17.5,22.5,7.5,0.0,15.0,100.0,0.0,100.0,0.0
Household,g7,950.0,0.9,5.7172,873.3767,0.9,ModelStatus.Integer,Feasible—not proven optimal,Conv: SLF 40.0% / HTL 60.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,60.0,0.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Household,g8,950.0,2.55,4.9442,904.2304,2.5023,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 42.5% / INC 15.0% / HTL 42.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,42.5,0.0,42.5,0.0,0.0,15.0,100.0,0.0,0.0,0.0
Household,g9,950.0,4.2,4.1109,946.8949,3.8924,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 45.0% / INC 30.0% / HTL 25.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,25.0,0.0,45.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0
Restaurant,g1,260.0,1.4,9.6988,260.0,1.4,ModelStatus.OptimalGlobal,Optimal,Conv: AND 55.0% / WWT 20.0% / HTL 25.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,25.0,55.0,0.0,0.0,20.0,0.0,100.0,0.0,100.0,0.0
Restaurant,g2,260.0,3.5,8.8214,260.0,3.2568,ModelStatus.OptimalGlobal,Optimal,Conv: AND 50.0% / WWT 10.0% / CMP 7.5% / HTL 32.5% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,32.5,50.0,0.0,7.5,10.0,0.0,100.0,0.0,100.0,0.0
Restaurant,g3,260.0,5.6,7.7939,260.0,5.0336,ModelStatus.OptimalGlobal,Optimal,Conv: AND 45.0% / CMP 15.0% / HTL 40.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,40.0,45.0,0.0,15.0,0.0,0.0,100.0,0.0,100.0,0.0
Restaurant,g4,730.0,1.4,8.3807,685.2207,1.4,ModelStatus.OptimalGlobal,Optimal,Conv: AND 27.5% / WWT 10.0% / SLF 17.5% / HTL 45.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,45.0,27.5,17.5,0.0,10.0,0.0,100.0,0.0,100.0,0.0
